Saturday,Mar 21,Observance Day,9AM - 2PM,"1135 Deana Ct., Morgan Hill"
Monday,Mar 23,Drop in hours,7PM - 9PM,"1135 Deana Ct., Morgan Hill"
Wednesday,Mar 25,Drop in hours,7PM - 9PM,"1135 Deana Ct., Morgan Hill"
Friday,Mar 27,Drop in hours,7PM - 9PM,"1135 Deana Ct., Morgan Hill"
Saturday,Mar 28,Observance Day,9AM - 2PM,"1135 Deana Ct., Morgan Hill"
Monday,Mar 30,Drop in hours,7PM - 9PM,"1135 Deana Ct., Morgan Hill"
Wednesday,Apr 1,Drop in hours,7PM - 9PM,"1135 Deana Ct., Morgan Hill"
Thursday,Apr 2,Full Moon Dhamma Talk / Meditation Instruction,7PM - 9PM,"1135 Deana Ct., Morgan Hill"
Friday,Apr 3,Drop in hours,7PM - 9PM,"1135 Deana Ct., Morgan Hill"
Saturday,Apr 4,Observance Day,9AM - 2PM,"1135 Deana Ct., Morgan Hill"
Monday,Apr 6,Drop in hours,7PM - 9PM,"1135 Deana Ct., Morgan Hill"
Wednesday,Apr 8,Drop in hours,7PM - 9PM,"1135 Deana Ct., Morgan Hill"
Friday,Apr 10,Drop in hours,7PM - 9PM,"1135 Deana Ct., Morgan Hill"
Saturday,Apr 11,Observance Day,9AM - 2PM,"1135 Deana Ct., Morgan Hill"
Monday,Apr 13,Drop in hours,7PM - 9PM,"1135 Deana Ct., Morgan Hill"
Wednesday,Apr 15,Drop in hours,7PM - 9PM,"1135 Deana Ct., Morgan Hill"
Thursday,Apr 16,New Moon Dhamma Talk / Meditation Instruction,7PM - 9PM,"1135 Deana Ct., Morgan Hill"
